epoch,train_loss,val_loss,val_iou,val_dice
1,0.5540474794282111,0.47636102735996244,0.305319082736969,0.35203065201640127
2,0.44156764991338093,0.3789223849773407,0.3108391635119915,0.3441758446395397
3,0.39971498031844854,0.3485723078250885,0.29795796796679497,0.3324346013367176
4,0.366296801387311,0.35258649438619616,0.33455861955881117,0.3687468580901623
5,0.3423489744336842,0.3107594184577465,0.3414524123072624,0.37536172196269035
6,0.32005736675007296,0.3075761407613754,0.37520279064774514,0.4158180892467499
7,0.30165251898964385,0.2987035736441612,0.3723882488906384,0.40732124596834185
8,0.28706458770126997,0.26294646635651586,0.3573412634432316,0.39086740761995314
9,0.270334194524989,0.2591073468327522,0.36497255265712736,0.4003224462270737
10,0.26549274110396426,0.2434611864387989,0.3260371223092079,0.3570163413882256
11,0.253315013717495,0.2501032739877701,0.38281379342079164,0.41981051713228223
12,0.24069234426440755,0.216588531434536,0.36312768757343294,0.3951701432466507
13,0.236955412048031,0.2146223098039627,0.3700348109006882,0.4018806770443916
14,0.22745229147473003,0.21534958966076373,0.38528397381305696,0.42000876665115355
15,0.21822357283357616,0.20108770467340947,0.380555260181427,0.41512538492679596
16,0.2137095920529276,0.20377473942935467,0.3990876920521259,0.4325627386569977
17,0.20394421867441187,0.24211401641368865,0.3985138401389122,0.4343380033969879
18,0.2002804590191089,0.19347042217850685,0.390043755620718,0.4225641191005707
19,0.20255686787990665,0.1932545118033886,0.41012878268957137,0.4480809956789017
20,0.19725735220460117,0.19397721514105798,0.3799692735075951,0.41236721724271774
21,0.19452815077800234,0.18850129917263986,0.40407734811306,0.43734914287924764
22,0.18994491829525853,0.1805328257381916,0.4014458507299423,0.43581336438655854
23,0.1849826332220524,0.19239490367472173,0.40192157924175265,0.43439340889453887
24,0.17535297805087446,0.19428167790174483,0.4023806542158127,0.4339330345392227
25,0.17742826478443186,0.1858475159853697,0.42196296751499174,0.45718361586332323
26,0.17140356683747648,0.18150648213922976,0.4168842062354088,0.4496878683567047
27,0.16813193226415635,0.17979099042713642,0.41577484011650084,0.45123519450426103
28,0.1739745331854353,0.19972671903669834,0.42070358619093895,0.45604380816221235
29,0.17113785840224027,0.20499563440680504,0.4173714593052864,0.4534742124378681
30,0.16732145786347533,0.1951284483075142,0.41600150913000106,0.4487804286181927
31,0.15861208839930951,0.17363444454967975,0.420217789709568,0.4526325255632401
32,0.1514757794067212,0.16946997847408057,0.420967210829258,0.45434594005346296
33,0.14920407131863103,0.1709516156464815,0.4341792784631252,0.46892899125814436
34,0.1466149379285033,0.16686358097940684,0.40859394818544387,0.44250478893518447
35,0.1431814065776491,0.1639143902808428,0.42403577268123627,0.4567741140723228
36,0.1363906962868238,0.1697823103517294,0.4327075146138668,0.465535905957222
37,0.13991160920411452,0.1817658381536603,0.4307863339781761,0.46505398824810984
38,0.13594816743167762,0.16276278272271155,0.43492533415555956,0.46907724887132646
39,0.13623983761434177,0.1609095811843872,0.4333796575665474,0.4673689275979996
40,0.1371130142529198,0.16968217976391314,0.4333662256598473,0.4678012803196907
41,0.13154689933460068,0.177153423987329,0.43445860147476195,0.46944114863872527
42,0.13274974660213992,0.17325689531862737,0.43259484469890597,0.4654076859354973
43,0.12965162469642372,0.16838093660771847,0.43297878578305243,0.467536224424839
44,0.13186085040346462,0.16965230982750654,0.4352395683526993,0.469694634526968
45,0.1299099753286542,0.17316429633647204,0.4325645610690117,0.46821887493133546
46,0.1272429898847218,0.17588829211890697,0.42545376569032667,0.45854163989424707
47,0.1201027684985473,0.18370851390063764,0.44167845249176024,0.4760952040553093
48,0.11875966556831066,0.18129992298781872,0.4324751704931259,0.46732562184333803
49,0.12301683717402756,0.18158647269010544,0.42463125512003896,0.45813111364841463
50,0.1164782909240219,0.172060601785779,0.439723402261734,0.47539664059877396
