session_id;evaluator_id;evaluator_name;image_id;image_filename;image_source_ground_truth;random_order;shown_timestamp;predicted_source;segmentation_mask_file;segmentation_done;precision;recall;f1_score;notes
BLIND_2026_001;1;Expert_1;IMG_043;tgs_real_043.png;real;1;2026-09-11T11:20:00Z;real;mask_real_043.png;1;0.84233;0.95613;0.89563;
BLIND_2026_001;1;Expert_1;IMG_042;tgs_real_042.png;real;2;2026-09-11T13:35:00Z;real;mask_real_042.png;1;0.84743;0.93657;0.88977;
BLIND_2026_001;1;Expert_1;IMG_092;control_002.png;control;3;2026-09-11T04:24:00Z;control;;0;;;;control_no_salt
BLIND_2026_001;1;Expert_1;IMG_010;tgs_real_010.png;real;4;2026-09-11T09:01:00Z;real;mask_real_010.png;1;0.92347;0.95668;0.93978;
BLIND_2026_001;1;Expert_1;IMG_066;synth_021.png;synthetic;5;2026-09-11T21:25:00Z;real;mask_synth_021.png;1;0.82902;0.88332;0.85531;
BLIND_2026_001;1;Expert_1;IMG_051;synth_006.png;synthetic;6;2026-09-11T00:15:00Z;real;mask_synth_006.png;1;0.98163;0.9315;0.95591;
BLIND_2026_001;1;Expert_1;IMG_002;tgs_real_002.png;real;7;2026-09-11T08:20:00Z;synthetic;mask_real_002.png;1;0.92869;0.92036;0.92451;
BLIND_2026_001;1;Expert_1;IMG_071;synth_026.png;synthetic;8;2026-09-11T12:01:00Z;synthetic;mask_synth_026.png;1;0.94493;0.91814;0.93134;
BLIND_2026_001;1;Expert_1;IMG_016;tgs_real_016.png;real;9;2026-09-11T17:40:00Z;real;mask_real_016.png;1;0.92196;0.93939;0.93059;
BLIND_2026_001;1;Expert_1;IMG_079;synth_034.png;synthetic;10;2026-09-11T20:47:00Z;synthetic;mask_synth_034.png;1;0.86487;0.88785;0.87621;
BLIND_2026_001;1;Expert_1;IMG_074;synth_029.png;synthetic;11;2026-09-11T17:13:00Z;real;mask_synth_029.png;1;0.91865;0.87575;0.89669;
BLIND_2026_001;1;Expert_1;IMG_011;tgs_real_011.png;real;12;2026-09-11T03:31:00Z;real;mask_real_011.png;1;0.88428;0.87958;0.88192;
BLIND_2026_001;1;Expert_1;IMG_056;synth_011.png;synthetic;13;2026-09-11T14:58:00Z;synthetic;mask_synth_011.png;1;0.80943;0.91883;0.86067;
BLIND_2026_001;1;Expert_1;IMG_057;synth_012.png;synthetic;14;2026-09-11T23:47:00Z;real;mask_synth_012.png;1;0.93211;0.90153;0.91657;
BLIND_2026_001;1;Expert_1;IMG_073;synth_028.png;synthetic;15;2026-09-11T14:39:00Z;synthetic;mask_synth_028.png;1;0.89002;0.82212;0.85472;
BLIND_2026_001;1;Expert_1;IMG_046;synth_001.png;synthetic;16;2026-09-11T03:58:00Z;synthetic;mask_synth_001.png;1;0.90513;0.93335;0.91902;
BLIND_2026_001;1;Expert_1;IMG_049;synth_004.png;synthetic;17;2026-09-11T16:20:00Z;real;mask_synth_004.png;1;0.92924;0.92609;0.92766;
BLIND_2026_001;1;Expert_1;IMG_093;control_003.png;control;18;2026-09-11T16:50:00Z;control;;0;;;;control_no_salt
BLIND_2026_001;1;Expert_1;IMG_077;synth_032.png;synthetic;19;2026-09-11T09:05:00Z;synthetic;mask_synth_032.png;1;0.92163;0.89074;0.90592;
BLIND_2026_001;1;Expert_1;IMG_038;tgs_real_038.png;real;20;2026-09-11T20:02:00Z;real;mask_real_038.png;1;0.98637;0.95401;0.96992;
BLIND_2026_001;1;Expert_1;IMG_031;tgs_real_031.png;real;21;2026-09-11T19:40:00Z;synthetic;mask_real_031.png;1;0.99659;0.81209;0.89493;
BLIND_2026_001;1;Expert_1;IMG_022;tgs_real_022.png;real;22;2026-09-11T08:36:00Z;synthetic;mask_real_022.png;1;0.9497;0.96128;0.95545;
BLIND_2026_001;1;Expert_1;IMG_033;tgs_real_033.png;real;23;2026-09-11T07:46:00Z;synthetic;mask_real_033.png;1;1.0;0.84134;0.91383;
BLIND_2026_001;1;Expert_1;IMG_097;control_007.png;control;24;2026-09-11T05:59:00Z;control;;0;;;;control_no_salt
BLIND_2026_001;1;Expert_1;IMG_081;synth_036.png;synthetic;25;2026-09-11T13:47:00Z;real;mask_synth_036.png;1;0.96479;0.90422;0.93352;
BLIND_2026_001;1;Expert_1;IMG_050;synth_005.png;synthetic;26;2026-09-11T16:33:00Z;real;mask_synth_005.png;1;0.88434;0.97261;0.92638;
BLIND_2026_001;1;Expert_1;IMG_084;synth_039.png;synthetic;27;2026-09-11T20:14:00Z;synthetic;mask_synth_039.png;1;0.86818;0.85861;0.86337;
BLIND_2026_001;1;Expert_1;IMG_027;tgs_real_027.png;real;28;2026-09-11T06:54:00Z;real;mask_real_027.png;1;0.86888;1.0;0.92984;
BLIND_2026_001;1;Expert_1;IMG_088;synth_043.png;synthetic;29;2026-09-11T21:05:00Z;real;mask_synth_043.png;1;0.90289;0.88742;0.89509;
BLIND_2026_001;1;Expert_1;IMG_034;tgs_real_034.png;real;30;2026-09-11T11:25:00Z;synthetic;mask_real_034.png;1;0.98959;0.93693;0.96254;
BLIND_2026_001;1;Expert_1;IMG_009;tgs_real_009.png;real;31;2026-09-11T18:18:00Z;real;mask_real_009.png;1;0.9797;0.88825;0.93174;
