session_id,image_id,image_filename,image_source_ground_truth,ground_truth_mask_file,randomization_pool,notes
BLIND001,R001,real_salt_001.png,real,gt_masks/real_salt_001_mask.png,main,real with salt
BLIND001,R002,real_salt_002.png,real,gt_masks/real_salt_002_mask.png,main,real with salt
BLIND001,R003,real_salt_003.png,real,gt_masks/real_salt_003_mask.png,main,real with salt
BLIND001,R004,real_salt_004.png,real,gt_masks/real_salt_004_mask.png,main,real with salt
BLIND001,R005,real_salt_005.png,real,gt_masks/real_salt_005_mask.png,main,real with salt
BLIND001,R006,real_salt_006.png,real,gt_masks/real_salt_006_mask.png,main,real with salt
BLIND001,R007,real_salt_007.png,real,gt_masks/real_salt_007_mask.png,main,real with salt
BLIND001,R008,real_salt_008.png,real,gt_masks/real_salt_008_mask.png,main,real with salt
BLIND001,R009,real_salt_009.png,real,gt_masks/real_salt_009_mask.png,main,real with salt
BLIND001,R010,real_salt_010.png,real,gt_masks/real_salt_010_mask.png,main,real with salt
BLIND001,R011,real_salt_011.png,real,gt_masks/real_salt_011_mask.png,main,real with salt
BLIND001,R012,real_salt_012.png,real,gt_masks/real_salt_012_mask.png,main,real with salt
BLIND001,R013,real_salt_013.png,real,gt_masks/real_salt_013_mask.png,main,real with salt
BLIND001,R014,real_salt_014.png,real,gt_masks/real_salt_014_mask.png,main,real with salt
BLIND001,R015,real_salt_015.png,real,gt_masks/real_salt_015_mask.png,main,real with salt
BLIND001,R016,real_salt_016.png,real,gt_masks/real_salt_016_mask.png,main,real with salt
BLIND001,R017,real_salt_017.png,real,gt_masks/real_salt_017_mask.png,main,real with salt
BLIND001,R018,real_salt_018.png,real,gt_masks/real_salt_018_mask.png,main,real with salt
BLIND001,R019,real_salt_019.png,real,gt_masks/real_salt_019_mask.png,main,real with salt
BLIND001,R020,real_salt_020.png,real,gt_masks/real_salt_020_mask.png,main,real with salt
BLIND001,R021,real_salt_021.png,real,gt_masks/real_salt_021_mask.png,main,real with salt
BLIND001,R022,real_salt_022.png,real,gt_masks/real_salt_022_mask.png,main,real with salt
BLIND001,R023,real_salt_023.png,real,gt_masks/real_salt_023_mask.png,main,real with salt
BLIND001,R024,real_salt_024.png,real,gt_masks/real_salt_024_mask.png,main,real with salt
BLIND001,R025,real_salt_025.png,real,gt_masks/real_salt_025_mask.png,main,real with salt
BLIND001,R026,real_salt_026.png,real,gt_masks/real_salt_026_mask.png,main,real with salt
BLIND001,R027,real_salt_027.png,real,gt_masks/real_salt_027_mask.png,main,real with salt
BLIND001,R028,real_salt_028.png,real,gt_masks/real_salt_028_mask.png,main,real with salt
BLIND001,R029,real_salt_029.png,real,gt_masks/real_salt_029_mask.png,main,real with salt
BLIND001,R030,real_salt_030.png,real,gt_masks/real_salt_030_mask.png,main,real with salt
BLIND001,R031,real_salt_031.png,real,gt_masks/real_salt_031_mask.png,main,real with salt
BLIND001,R032,real_salt_032.png,real,gt_masks/real_salt_032_mask.png,main,real with salt
BLIND001,R033,real_salt_033.png,real,gt_masks/real_salt_033_mask.png,main,real with salt
BLIND001,R034,real_salt_034.png,real,gt_masks/real_salt_034_mask.png,main,real with salt
BLIND001,R035,real_salt_035.png,real,gt_masks/real_salt_035_mask.png,main,real with salt
BLIND001,S001,synthetic_salt_001.png,synthetic,gt_masks/synthetic_salt_001_mask.png,main,synthetic with salt
BLIND001,S002,synthetic_salt_002.png,synthetic,gt_masks/synthetic_salt_002_mask.png,main,synthetic with salt
BLIND001,S003,synthetic_salt_003.png,synthetic,gt_masks/synthetic_salt_003_mask.png,main,synthetic with salt
BLIND001,S004,synthetic_salt_004.png,synthetic,gt_masks/synthetic_salt_004_mask.png,main,synthetic with salt
BLIND001,S005,synthetic_salt_005.png,synthetic,gt_masks/synthetic_salt_005_mask.png,main,synthetic with salt
BLIND001,S006,synthetic_salt_006.png,synthetic,gt_masks/synthetic_salt_006_mask.png,main,synthetic with salt
BLIND001,S007,synthetic_salt_007.png,synthetic,gt_masks/synthetic_salt_007_mask.png,main,synthetic with salt
BLIND001,S008,synthetic_salt_008.png,synthetic,gt_masks/synthetic_salt_008_mask.png,main,synthetic with salt
BLIND001,S009,synthetic_salt_009.png,synthetic,gt_masks/synthetic_salt_009_mask.png,main,synthetic with salt
BLIND001,S010,synthetic_salt_010.png,synthetic,gt_masks/synthetic_salt_010_mask.png,main,synthetic with salt
